strain amplitude,frequency
7.9683493363730115e-22,10.11979251176407
7.969133909091127e-22,10.121310593735092
7.969918558162698e-22,10.122828903435373
7.9707032835950425e-22,10.124347440899081
7.97148808539547e-22,10.125866206160374
7.972272963571305e-22,10.127385199253442
7.973057918129858e-22,10.128904420212445
7.973842949078448e-22,10.13042386907157
7.974628056424392e-22,10.131943545865
7.9754132401750125e-22,10.13346345062694
7.976198500337627e-22,10.134983583391579
7.976983836919554e-22,10.136503944193116
7.977769249928117e-22,10.138024533065765
7.978554739370634e-22,10.139545350043731
7.979340305254441e-22,10.141066395161259
7.980125947586846e-22,10.142587668452538
7.980911666375173e-22,10.144109169951811
7.981697461626767e-22,10.145630899693332
7.98248333334893e-22,10.147152857711308
7.9832692815489915e-22,10.14867504403999
7.984055306234288e-22,10.15019745871364
7.984841407412139e-22,10.1517201017665
7.985627585089874e-22,10.15324297323283
7.986413839274823e-22,10.154766073146902
7.987200169974319e-22,10.156289401542983
7.9879865771956855e-22,10.157812958455342
7.9887730609462555e-22,10.159336743918264
7.9895596212333745e-22,10.160860757966056
7.990346258064352e-22,10.162385000632968
7.991132971446532e-22,10.163909471953318
7.991919761387256e-22,10.165434171961415
7.992706627893843e-22,10.166959100691543
7.993493570973642e-22,10.168484258178035
7.994280590633973e-22,10.170009644455178
7.995067686882185e-22,10.171535259557317
7.995854859725612e-22,10.173061103518767
7.996642109171585e-22,10.174587176373855
7.997429435227452e-22,10.176113478156928
7.998216837900555e-22,10.17764000890234
7.999004317198223e-22,10.17916676864441
7.999791873127798e-22,10.180693757417503
8.000579505696637e-22,10.18222097525599
8.001367214912063e-22,10.183748422194215
8.00215500078142e-22,10.185276098266536
8.0029428633120625e-22,10.186804003507344
8.0037308025113345e-22,10.188332137951024
8.004518818386579e-22,10.18986050163196
8.005306910945137e-22,10.19138909458452
8.006095080194351e-22,10.192917916843093
8.006883326141567e-22,10.194446968442081
8.00767164879415e-22,10.195976249415915
8.008460048159436e-22,10.197505759798988
8.009248524244777e-22,10.199035499625705
8.0100370770575205e-22,10.200565468930492
8.010825706605024e-22,10.202095667747791
8.011614412894633e-22,10.203626096112005
8.012403195933687e-22,10.20515675405756
8.013192055729554e-22,10.206687641618915
8.013980992289586e-22,10.208218758830517
8.01477000562114e-22,10.209750105726823
8.01555909573156e-22,10.211281682342264
8.016348262628209e-22,10.212813488711319
8.017137506318446e-22,10.214345524868454
8.017926826809615e-22,10.215877790848122
8.018716224109086e-22,10.217410286684819
8.019505698224213e-22,10.218943012413016
8.020295249162352e-22,10.220475968067198
8.021084876930861e-22,10.222009153681855
8.021874581537104e-22,10.223542569291487
8.022664362988446e-22,10.225076214930601
8.023454221292243e-22,10.226610090633693
8.024244156455861e-22,10.22814419643529
8.025034168486666e-22,10.22967853236991
8.025824257392016e-22,10.231213098472063
8.026614423179283e-22,10.232747894776292
8.027404665855818e-22,10.234282921317106
8.028194985428992e-22,10.23581817812905
8.028985381906176e-22,10.237353665246673
8.029775855294737e-22,10.238889382704523
8.030566405602047e-22,10.240425330537168
8.031357032835468e-22,10.241961508779148
8.032147737002377e-22,10.24349791746505
8.032938518110129e-22,10.245034556629399
8.033729376166108e-22,10.246571426306804
8.034520311177678e-22,10.248108526531828
8.035311323152218e-22,10.249645857339074
8.036102412097098e-22,10.251183418763114
8.0368935780196955e-22,10.252721210838567
8.037684820927378e-22,10.254259233600008
8.038476140827521e-22,10.255797487082045
8.039267537727509e-22,10.257335971319314
